pl_hostname,pl_letter,pl_name,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_dens,st_teff,st_mass,st_rad,pl_kepflag,pl_k2flag,st_dist,st_optmag,pl_facility,ra,pl_cbflag,pl_eqt,pl_rade,pl_trandur,pl_ratdor,pl_disc,pl_locale,pl_telescope,pl_instrument,pl_mnum,pl_pelink,pl_edelink,st_lum,st_dens,st_age,st_spstr,st_umbj
HD 142022 A,b,HD 142022 A b,1,1928.0,2.93,0.53,4.44,,5421.0,0.9,1.04,0,0,34.31,7.7,La Silla Observatory,242.562592,0,,,,,2005,Ground,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,0,http://exoplanet.eu/catalog/hd_142022_a_b/,http://exoplanets.org/detail/HD_142022_b,,,,K0,
HD 39091,c,pi Men c,2,6.2679,0.06839,0.0,0.01517,2.97,6037.0,1.09,1.1,0,0,18.28,5.67,Transiting Exoplanet Survey Satellite (TESS),84.291214,0,1170,2.042,0.1230417,13.38,2018,Space,0.1 m TESS Telescope,TESS CCD Array,0,http://exoplanet.eu/catalog/pi_men_c/,,0.16,1.148,2.98,G0 V,0.11
HD 39091,b,HD 39091 b,2,2093.07,3.1,0.637,10.02,,6037.0,1.09,1.1,0,0,18.28,5.67,Anglo-Australian Telescope,84.291214,0,,,,,2001,Ground,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,0,http://exoplanet.eu/catalog/hd_39091_b/,http://exoplanets.org/detail/HD_39091_b,0.16,1.148,2.98,G0 V,0.11
HD 137388,b,HD 137388 b,1,330.0,0.89,0.36,0.2,,5181.0,0.68,0.88,0,0,40.53,8.696,La Silla Observatory,233.916367,0,,,,,2011,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_137388_b/,http://exoplanets.org/detail/HD_137388_b,,,,K2 IV,
GJ 3021,b,GJ 3021 b,1,133.71,0.49,0.511,3.37,,5540.0,0.9,0.9,0,0,17.56,6.59,La Silla Observatory,4.052823,0,350,,,,2000,Ground,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,0,http://exoplanet.eu/catalog/gj_3021_b/,http://exoplanets.org/detail/HD_1237_b,-0.18,,,G6 V,
HD 63454,b,HD 63454 b,1,2.81805,0.04,0.0,0.25,,4812.0,0.42,0.77,0,0,37.73,9.37,La Silla Observatory,114.841049,0,,,,,2005,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_63454_b/,http://exoplanets.org/detail/HD_63454_b,,,,K4 V,
HD 212301,b,HD 212301 b,1,2.24571,0.03,0.0,0.51,,6239.0,1.55,1.16,0,0,54.32,7.764,La Silla Observatory,336.878845,0,,,,,2005,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_212301_b/,http://exoplanets.org/detail/HD_212301_b,,,,F8 V,
HD 97048,b,HD 97048 b,1,,130.0,,2.5,,10000.0,2.4,2.25,0,0,185.0,8.447,Atacama Large Millimeter Array (ALMA),167.013824,0,,,,,2019,Ground,Atacama Large Millimeter Array (ALMA),12-m Array,0,,,1.602,,0.003,Be9.5/AO,
CHXR 73,b,CHXR 73 b,1,,210.0,,12.569,,,0.35,,0,0,191.05,,Hubble Space Telescope,166.619893,0,,,,,2006,Space,2.4 m Hubble Space Telescope,ACS Camera,0,http://exoplanet.eu/catalog/chxr_73_b/,,,,0.002,M3.5,
HD 221420,b,HD 221420 b,1,22482.0,18.5,0.42,9.7,,5830.0,1.67,,0,0,31.17,5.81,Anglo-Australian Telescope,353.331604,0,,,,,2019,Ground,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,0,http://exoplanet.eu/catalog/hd_221420_b/,,,,,G2 V,0.31
CT Cha,b,CT Cha b,1,,440.0,,17.0,,,,,0,0,165.0,,Paranal Observatory,166.037877,0,2600,24.66,,,2007,Ground,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,0,http://exoplanet.eu/catalog/ct_cha_b/,,,,0.002,K5e,
HD 2685,b,HD 2685 b,1,4.12688,0.0568,0.091,1.17,,6801.0,1.43,1.56,0,0,197.98,,Transiting Exoplanet Survey Satellite (TESS),7.328958,0,2061,16.141,,7.6974,2019,Space,0.1 m TESS Telescope,TESS CCD Array,0,http://exoplanet.eu/catalog/hd_2685_b/,,0.668,,1.31,,
HD 196067,b,HD 196067 b,1,3638.0,5.02,0.66,6.9,,6017.0,1.29,1.73,0,0,39.98,6.03,La Silla Observatory,310.433716,0,,,,,2012,Ground,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,0,http://exoplanet.eu/catalog/hd_196067_b/,,0.572,,3.3,G1 V,0.19
HD 68402,b,HD 68402 b,1,1103.0,2.18,0.03,3.07,,5950.0,1.12,1.02,0,0,78.61,9.11,Multiple Observatories,121.348717,0,,,,,2016,Ground,Multiple Telescopes,Multiple Instruments,0,http://exoplanet.eu/catalog/hd_68402_b/,,0.068,,2.0,G5 IV/V,
HD 38283,b,HD 38283 b,1,363.20001,1.02,0.41,0.4,,5981.0,1.37,1.49,0,0,38.1,6.696,Anglo-Australian Telescope,84.258408,0,,,,,2010,Ground,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,0,http://exoplanet.eu/catalog/hd_38283_b/,http://exoplanets.org/detail/HD_38283_b,,,,G0/1 V,
TOI-150,b,TOI-150.01,1,5.857487,0.07037,0.262,2.51,1.68,6255.0,1.35,1.53,0,0,336.0,,Transiting Exoplanet Survey Satellite (TESS),112.965667,0,1405,14.067,0.2133333,9.917,2019,Space,0.1 m TESS Telescope,TESS CCD Array,0,http://exoplanet.eu/catalog/toi-150_b/,,0.497,0.5332,2.346,F,
HD 131664,b,HD 131664 b,1,1951.0,3.17,0.64,19.12,,5892.0,1.19,1.08,0,0,52.89,8.128,La Silla Observatory,225.025314,0,,,,,2008,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_131664_b/,http://exoplanets.org/detail/HD_131664_b,,,,G3 V,
DMPP-3 A,b,DMPP-3 A b,1,6.6732,0.0662,0.14,0.00812,,5138.0,0.87,0.91,0,0,48.9,9.066,La Silla Observatory,91.624382,0,854,,,,2019,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_42936_b/,,,,10.9,K0 V,
HD 20003,b,HD 20003 b,2,11.8482,0.0974,0.36,0.0367,,5494.0,0.88,,0,0,43.8,8.39,La Silla Observatory,46.907997,0,,,,,2019,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_20003_b/,,-0.143,,,G8 V,
HD 20003,c,HD 20003 c,2,33.9239,0.1964,0.1,0.0454,,5494.0,0.88,,0,0,43.8,8.39,La Silla Observatory,46.907997,0,,,,,2019,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_20003_c/,,-0.143,,,G8 V,
TOI-163,b,TOI-163 b,1,4.231306,0.058,0.0,1.22,0.49,6495.0,1.44,1.65,0,0,416.5,,Transiting Exoplanet Survey Satellite (TESS),79.767917,0,1669,16.69,0.2054167,7.57,2019,Space,0.1 m TESS Telescope,TESS CCD Array,0,http://exoplanet.eu/catalog/toi-163_b/,,0.636,0.4518,1.823,F,
HD 108341,b,HD 108341 b,1,1129.0,2.0,0.85,3.5,,5122.0,0.84,0.79,0,0,49.4,9.36,La Silla Observatory,186.880798,0,,,,,2014,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_108341_b/,,,,4.9,K2 V,
HD 222076,b,HD 222076 b,1,871.0,1.83,0.08,1.56,,4806.0,1.07,4.1,0,0,91.39,7.459,Multiple Observatories,354.533112,0,,,,,2016,Ground,Multiple Telescopes,Multiple Instuments,0,http://exoplanet.eu/catalog/hd_222076_b/,,0.929,,,K0 III,
HD 100546,b,HD 100546 b,1,,53.0,,,,10500.0,2.4,,0,0,110.02,6.704,Paranal Observatory,173.356003,0,,77.342,,,2014,Ground,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,0,,,1.5,,0.005,B9 Vne,
WASP-91,b,WASP-91 b,1,2.798581,0.037,0.0,1.34,1.59,4920.0,0.84,0.86,0,0,150.59,12.0,SuperWASP-South,357.845367,0,1160,11.545,0.0976,9.1,2017,Ground,Canon 200mm f/1.8L,iKon-L CCD Camera,0,http://exoplanet.eu/catalog/wasp-91_b/,,,1.83,,K3,
HD 216437,b,HD 216437 b,1,1334.28,2.497,0.317,2.223,,5909.0,1.17,1.39,0,0,26.71,6.057,Anglo-Australian Telescope,343.66452,0,,,,,2002,Ground,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,0,http://exoplanet.eu/catalog/hd_216437_b/,http://exoplanets.org/detail/HD_216437_b,,,4.75,G2/3 IV,0.24
HD 24085,b,HD 24085 b,1,2.0455,0.034,0.22,0.03713,,6034.0,1.22,,0,0,54.99,7.564,Las Campanas Observatory,56.256458,0,,,,,2019,Ground,6.5 m Magellan II Clay Telescope,Carnegie Planet Finder Spectrograph,0,http://exoplanet.eu/catalog/hd_24085_b/,,,,,G0 V,
HD 175167,b,HD 175167 b,1,1290.0,2.4,0.54,8.97,,5635.0,1.37,1.75,0,0,71.23,8.01,Las Campanas Observatory,285.003479,0,,,,,2009,Ground,6.5 m Magellan II Clay Telescope,MIKE Spectrograph,0,http://exoplanet.eu/catalog/hd_175167_b/,http://exoplanets.org/detail/HD_175167_b,,,,G5 IV/V,
WASP-126,c,WASP-126 c,2,7.63,,0.05,0.20199,,5800.0,1.12,1.27,0,0,234.0,10.8,Transiting Exoplanet Survey Satellite (TESS),63.373865,0,,,,,2019,Space,0.1 m TESS Telescope,TESS CCD Array,0,,,,,,G2,
WASP-126,b,WASP-126 b,2,3.28883,,,0.28411,,5800.0,1.12,1.27,0,0,234.0,10.8,SuperWASP-South,63.373865,0,,,,7.887,2016,Ground,Canon 200mm f/1.8L,iKon-L CCD Camera,0,http://exoplanet.eu/catalog/wasp-126_b/,,,,,G2,
DS Tuc A,b,DS Tuc A b,1,8.138268,,0.0,,,5428.0,1.01,0.96,0,0,44.12,8.469,Transiting Exoplanet Survey Satellite (TESS),354.91449,0,850,5.7,0.13235,20.35,2019,Space,0.1 m TESS Telescope,TESS CCD Array,0,http://exoplanet.eu/catalog/ds_tuc_a_b/,,-0.14,2.4,0.045,G6 V,
LHS 3844,b,LHS 3844 b,1,0.46292913,0.00622,,,,3036.0,0.15,0.19,0,0,14.9,15.26,Transiting Exoplanet Survey Satellite (TESS),340.492104,0,805,1.303,0.0217167,7.109,2019,Space,0.1 m TESS Telescope,TESS CCD Array,0,http://exoplanet.eu/catalog/lhs_3844_b/,,-2.565,31.73,,M5,
HD 129445,b,HD 129445 b,1,1840.0,2.9,0.7,1.6,,,0.99,,0,0,67.57,8.8,Las Campanas Observatory,221.512772,0,,,,,2009,Ground,6.5 m Magellan II Clay Telescope,MIKE Spectrograph,0,http://exoplanet.eu/catalog/hd_129445_b/,,,,,G6 V,
HD 95086,b,HD 95086 b,1,,55.7,,5.0,,,1.6,,0,0,86.44,7.36,Paranal Observatory,164.262589,0,1000,,,,2013,Ground,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,0,http://exoplanet.eu/catalog/hd_95086_b/,http://exoplanets.org/detail/HD_95086_b,,,0.017,A8 III,
HD 111232,b,HD 111232 b,1,1143.0,1.97,0.2,7.14,,5512.0,0.84,0.9,0,0,28.98,7.59,La Silla Observatory,192.215637,0,,,,,2003,Ground,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,0,http://exoplanet.eu/catalog/hd_111232_b/,http://exoplanets.org/detail/HD_111232_b,,,,G5 V,
L 98-59,c,L 98-59 c,3,3.690621,0.0324,0.09,,,3367.0,0.31,0.31,0,0,10.62,,Transiting Exoplanet Survey Satellite (TESS),124.53175,0,,1.35,0.0516667,22.5,2019,Space,0.1 m TESS Telescope,TESS CCD Array,0,http://exoplanet.eu/catalog/l_98-59_c/,,-1.947,15.8,1.0,M3 V,
L 98-59,b,L 98-59 b,3,2.25314,0.0233,0.1,,,3367.0,0.31,0.31,0,0,10.62,,Transiting Exoplanet Survey Satellite (TESS),124.53175,0,,0.8,0.0425,16.2,2019,Space,0.1 m TESS Telescope,TESS CCD Array,0,http://exoplanet.eu/catalog/l_98-59_b/,,-1.947,15.8,1.0,M3 V,
L 98-59,d,L 98-59 d,3,7.45086,0.052,0.2,,,3367.0,0.31,0.31,0,0,10.62,,Transiting Exoplanet Survey Satellite (TESS),124.53175,0,,1.57,0.0379167,37.4,2019,Space,0.1 m TESS Telescope,TESS CCD Array,0,http://exoplanet.eu/catalog/l_98-59_d/,,-1.947,15.8,1.0,M3 V,
HD 11977,b,HD 11977 b,1,711.0,1.93,0.4,6.54,,4970.0,1.91,10.09,0,0,68.05,4.69,La Silla Observatory,28.733881,0,,,,,2005,Ground,Multiple Telescopes,FEROS Spectrograph,0,http://exoplanet.eu/catalog/hd_11977_b/,http://exoplanets.org/detail/HD_11977_b,,,1.2,G8 III/IV,0.64
HD 76920,b,HD 76920 b,1,415.4,1.149,0.856,3.93,,4698.0,1.17,7.47,0,0,184.8,7.817,Multiple Observatories,133.820068,0,,,,,2017,Ground,Multiple Telescopes,Multiple Instruments,0,http://exoplanet.eu/catalog/hd_76920_b/,,1.38,,7.1,K1 III,
HD 76700,b,HD 76700 b,1,3.97097,0.05,0.09,0.21,,5644.0,0.99,1.37,0,0,60.99,8.155,Anglo-Australian Telescope,133.481308,0,,,,,2002,Ground,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,0,http://exoplanet.eu/catalog/hd_76700_b/,http://exoplanets.org/detail/HD_76700_b,,,,G6 V,
TOI-125,b,TOI-125 b,3,4.65382,0.05186,0.194,0.02989,2.57,5320.0,0.86,0.85,0,0,111.4,10.892,Transiting Exoplanet Survey Satellite (TESS),23.594729,0,1037,2.726,0.1234,13.16,2019,Space,0.1 m TESS Telescope,TESS CCD Array,0,http://exoplanet.eu/catalog/toi_125_b/,,-0.285,1.99,6.8,K0 V,
TOI-125,c,TOI-125 c,3,9.15059,0.0814,0.066,0.02086,1.73,5320.0,0.86,0.85,0,0,111.4,10.892,Transiting Exoplanet Survey Satellite (TESS),23.594729,0,828,2.759,0.1231,20.66,2019,Space,0.1 m TESS Telescope,TESS CCD Array,0,http://exoplanet.eu/catalog/toi_125_c/,,-0.285,1.99,6.8,K0 V,
TOI-125,d,TOI-125 d,3,19.98,0.137,0.168,0.04279,2.98,5320.0,0.86,0.85,0,0,111.4,10.892,Transiting Exoplanet Survey Satellite (TESS),23.594729,0,638,2.93,0.1297,34.77,2020,Space,0.1 m TESS Telescope,TESS CCD Array,0,http://exoplanet.eu/catalog/toi-125_d/,,-0.285,1.99,6.8,K0 V,
POTS-1,b,POTS-1 b,1,3.1606296,0.03734,,2.31,,4400.0,0.69,0.59,0,0,1200.0,17.94,La Silla Observatory,203.608877,0,,10.548,,,2013,Ground,2.2 m MPG/ESO Telescope,WFI Camera,0,http://exoplanet.eu/catalog/pots-1_b/,,,4.814,,K5 V,
HD 181433,b,HD 181433 b,3,9.3743,0.08,0.4,0.02,,4918.0,0.63,0.79,0,0,26.9,8.4,La Silla Observatory,291.289856,0,,,,,2008,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_181433_b/,http://exoplanets.org/detail/HD_181433_b,,,,K3 IV,
HD 181433,c,HD 181433 c,3,962.0,1.76,0.28,0.64,,4918.0,0.63,0.79,0,0,26.9,8.4,La Silla Observatory,291.289856,0,,,,,2008,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_181433_c/,http://exoplanets.org/detail/HD_181433_c,,,,K3 IV,
HD 181433,d,HD 181433 d,3,2172.0,3.0,0.48,0.54,,4918.0,0.63,0.79,0,0,26.9,8.4,La Silla Observatory,291.289856,0,,,,,2008,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_181433_d/,http://exoplanets.org/detail/HD_181433_d,,,,K3 IV,
HD 1397,b,HD 1397 b,1,11.53533,0.1097,0.251,0.415,0.477,5521.0,1.32,2.34,0,0,79.75,7.781,Transiting Exoplanet Survey Satellite (TESS),4.446472,0,1228,11.5,0.3584,10.1,2018,Space,0.1 m TESS Telescope,TESS CCD Array,0,http://exoplanet.eu/catalog/hd_1397_b/,,0.66,0.147,4.51,G5 III/IV,
WD 0806-661,b,WD 0806-661 b,1,,2500.0,,7.5,,,0.62,,0,0,19.2,,Spitzer Space Telescope,121.723902,0,323,,,,2011,Space,0.85 m Spitzer Space Telescope,IRAC Infrared Array Camera,0,http://exoplanet.eu/catalog/wd_0806-661_b_b/,,,,1.5,,
HD 175607,b,HD 175607 b,1,29.01,,0.11,0.02825,,5392.0,0.71,0.7,0,0,40.38,8.61,La Silla Observatory,285.272858,0,,,,,2015,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_175607_b/,,,,10.32,G6 V,
HD 7199,b,HD 7199 b,1,615.0,1.36,0.19,0.27,,5371.0,0.77,0.97,0,0,36.19,8.027,La Silla Observatory,17.696762,0,,,,,2011,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_7199_b/,http://exoplanets.org/detail/HD_7199_b,,,,K0 IV/V,
HD 4308,b,HD 4308 b,1,15.56,0.12,0.0,0.05,,5686.0,0.93,1.02,0,0,22.03,6.56,La Silla Observatory,11.163615,0,,,,,2005,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_4308_b/,http://exoplanets.org/detail/HD_4308_b,,,,G5 V,
HIP 63242,b,HIP 63242 b,1,124.6,0.565,0.23,9.18,,4830.0,1.54,,0,0,157.16,6.871,Multiple Observatories,194.383163,0,,,,,2013,Ground,Multiple Telescopes,Multiple Instruments,0,http://exoplanet.eu/catalog/hip_63242_b/,,1.63,,,G8,
WASP-119,b,WASP-119 b,1,2.49979,0.0363,0.058,1.23,0.7,5650.0,1.02,1.2,0,0,333.0,12.2,SuperWASP-South,55.933441,0,1600,15.693,0.126,6.329,2016,Ground,Canon 200mm f/1.8L,iKon-L CCD Camera,0,http://exoplanet.eu/catalog/wasp-119_b/,,,0.76,8.0,G5,
HD 25171,b,HD 25171 b,1,1802.29,2.971,0.042,0.915,,6125.0,1.08,1.23,0,0,55.7,7.782,La Silla Observatory,58.956001,0,,,,,2010,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_25171_b/,http://exoplanets.org/detail/HD_25171_b,,,4.802,F8 V,
HIP 107773,b,HIP 107773 b,1,144.3,0.72,0.09,1.98,,4945.0,2.42,11.6,0,0,103.63,5.62,Multiple Observatories,327.500519,0,,,,,2015,Ground,Multiple Telescopes,Multiple Instruments,0,http://exoplanet.eu/catalog/hip_107773_b/,,1.87,,,K1 III,0.83
HD 190984,b,HD 190984 b,1,4885.0,5.5,0.57,3.1,,5988.0,0.91,1.53,0,0,148.81,8.76,La Silla Observatory,302.877991,0,,,,,2009,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_190984_b/,,0.43,,,F8 V,
WASP-100,b,WASP-100 b,1,2.84938,,0.0,1.26,,6900.0,0.77,1.57,0,0,368.28,,SuperWASP,68.959728,0,,14.908,,4.93,2014,Ground,Canon 200mm f/1.8L,iKon-L CCD Camera,0,http://exoplanet.eu/catalog/wasp-100_b/,,,0.28,,F2,
HD 108147,b,HD 108147 b,1,10.8985,0.102,0.53,0.261,,6265.0,1.27,,0,0,38.96,6.995,La Silla Observatory,186.44278,0,,,,,2002,Ground,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,0,http://exoplanet.eu/catalog/hd_108147_b/,http://exoplanets.org/detail/HD_108147_b,0.286,,,F8/G0 V,
WASP-62,b,WASP-62 b,1,4.41195,,0.0,0.52,,6230.0,1.11,1.23,0,0,176.53,10.3,SuperWASP,87.139961,0,,14.796,,9.55,2012,Ground,Canon 200mm f/1.8L,iKon-L CCD Camera,0,http://exoplanet.eu/catalog/wasp-62_b/,http://exoplanets.org/detail/WASP-62_b,,0.85,,,
HD 65216,b,HD 65216 b,2,577.6,1.301,0.27,1.295,,5612.0,0.87,,0,0,35.16,7.964,La Silla Observatory,118.422173,0,,,,,2003,Ground,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,0,http://exoplanet.eu/catalog/hd_65216_b/,http://exoplanets.org/detail/HD_65216_b,,,,G5 V,
HD 65216,c,HD 65216 c,2,5370.0,5.75,0.17,2.03,,5612.0,0.87,,0,0,35.16,7.964,La Silla Observatory,118.422173,0,,,,,2013,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_65216_c/,,,,,G5 V,
HATS-35,b,HATS-35 b,1,1.8209993,0.03199,0.306,1.222,0.484,6300.0,1.32,1.43,0,0,557.0,12.56,HATSouth,296.688263,0,2037,16.41,0.1299,4.79,2016,Ground,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,0,http://exoplanet.eu/catalog/hats-35_b/,,0.465,0.628,2.13,,
GJ 143,b,GJ 143 b,2,35.61253,0.1915,0.188,0.07142,7.0,4640.0,0.73,0.69,0,0,16.33,7.87,Transiting Exoplanet Survey Satellite (TESS),51.746769,0,422,2.61,0.1345833,60.1,2019,Space,0.1 m TESS Telescope,TESS CCD Array,0,http://exoplanet.eu/catalog/gj_143_b/,,-0.686,3.03,3.8,K4.5,
GJ 143,c,HD 21749 c,2,7.78993,0.0695,,0.01164,31.93,4640.0,0.73,0.69,0,0,16.33,7.87,Transiting Exoplanet Survey Satellite (TESS),51.746769,0,701,0.892,0.1047917,21.8,2019,Space,0.1 m TESS Telescope,TESS CCD Array,0,http://exoplanet.eu/catalog/hd_21749_c/,,-0.686,3.03,3.8,K4.5,
TOI-216,c,TOI-216.01,2,34.556,0.2069,0.029,0.62927,0.76,5026.0,0.87,0.84,0,0,178.84,12.324,Transiting Exoplanet Survey Satellite (TESS),73.980208,0,497,11.29,0.22975,53.18,2019,Space,0.1 m TESS Telescope,TESS CCD Array,0,http://exoplanet.eu/catalog/toi-216_c/,,,2.38,,,
TOI-216,b,TOI-216.02,2,17.089,0.1293,0.132,0.09439,0.34,5026.0,0.87,0.84,0,0,178.84,12.324,Transiting Exoplanet Survey Satellite (TESS),73.980208,0,628,7.69,0.0859167,33.25,2019,Space,0.1 m TESS Telescope,TESS CCD Array,0,http://exoplanet.eu/catalog/toi-216_b/,,,2.38,,,
HD 23472,b,HD 23472 b,2,17.667,0.121,0.0,0.05638,,,0.75,0.73,0,0,39.08,9.724,Transiting Exoplanet Survey Satellite (TESS),55.459988,0,,,,,2019,Space,0.1 m TESS Telescope,TESS CCD Array,0,http://exoplanet.eu/catalog/hd_23472_b/,,-0.636,,,K4 V,
HD 23472,c,HD 23472 c,2,29.625,0.17,0.0,0.05405,,,0.75,0.73,0,0,39.08,9.724,Transiting Exoplanet Survey Satellite (TESS),55.459988,0,,,,,2019,Space,0.1 m TESS Telescope,TESS CCD Array,0,http://exoplanet.eu/catalog/hd_23472_c/,,-0.636,,,K4 V,
HD 219077,b,HD 219077 b,1,5501.0,6.22,0.77,10.39,,5362.0,1.05,1.91,0,0,29.21,6.12,La Silla Observatory,348.527435,0,,,,,2012,Ground,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,0,http://exoplanet.eu/catalog/hd_219077_b/,,0.425,,8.9,G8 V,
Proxima Cen,b,Proxima Cen b,1,11.186,0.0485,0.35,0.004,,3050.0,0.12,0.14,0,0,1.3,11.11,European Southern Observatory,217.428955,0,234,,,,2016,Ground,Multiple Telescopes,Multiple Instuments,0,http://exoplanet.eu/catalog/proxima_centauri_b/,,-2.81,,,M5.5 V,1.0
HATS-34,b,HATS-34 b,1,2.1061607,0.03166,0.108,0.941,0.4,5380.0,0.95,0.98,0,0,532.0,13.849,HATSouth,0.774485,0,1445,16.029,0.0648,6.96,2016,Ground,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,0,http://exoplanet.eu/catalog/hats-34_b/,,-0.14,1.44,7.7,,
OGLE-TR-211,b,OGLE-TR-211 b,1,3.67724,0.051,0.0,1.03,,6325.0,1.33,1.64,0,0,1574.54,,OGLE,160.059951,0,,15.244,0.1838,,2007,Ground,1.3 m Warsaw University Telescope,OGLE CCD Array,0,http://exoplanet.eu/catalog/ogle-tr-211_b/,http://exoplanets.org/detail/OGLE-TR-211_b,,,,,
OGLE-TR-132,b,OGLE-TR-132 b,1,1.689868,0.03035,,1.18,0.85,6210.0,1.3,1.32,0,0,2500.0,15.72,OGLE,162.644667,0,2013,13.45,,4.76,2004,Ground,1.3 m Warsaw University Telescope,OGLE CCD Array,0,http://exoplanet.eu/catalog/ogle-tr-132_b/,http://exoplanets.org/detail/OGLE-TR-132_b,0.371,0.72,1.2,F5 V,
HATS-24,b,HATS-24 b,1,1.3484978,0.0238,0.0,2.26,1.03,6125.0,1.07,1.12,0,0,510.0,12.83,HATSouth,268.890686,0,2166,15.637,,4.561,2017,Ground,Multiple Telescopes,Multiple Instruments,0,http://exoplanet.eu/catalog/hats-24_b/,,0.19,,3.7,F V,
HD 147018,b,HD 147018 b,2,44.236,0.2388,0.4686,2.12,,5441.0,0.93,,0,0,42.96,8.3,La Silla Observatory,245.75061,0,,,,,2009,Ground,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,0,http://exoplanet.eu/catalog/hd_147018_b/,http://exoplanets.org/detail/HD_147018_b,,,6.36,G9 V,
HD 147018,c,HD 147018 c,2,1008.0,1.922,0.133,6.56,,5441.0,0.93,,0,0,42.96,8.3,La Silla Observatory,245.75061,0,,,,,2009,Ground,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,0,http://exoplanet.eu/catalog/hd_147018_c/,http://exoplanets.org/detail/HD_147018_c,,,6.36,G9 V,
HD 224538,b,HD 224538 b,1,1189.1,2.28,0.464,5.97,,6097.0,1.34,1.54,0,0,79.24,8.06,Multiple Observatories,359.715668,0,,,,,2016,Ground,Multiple Telescopes,Multiple Instruments,0,http://exoplanet.eu/catalog/hd_224538_b/,,0.47,,2.0,F9 IV/V,
OGLE-TR-113,b,OGLE-TR-113 b,1,1.4324752,0.02289,,1.26,1.2,4790.0,0.78,0.77,0,0,600.0,14.42,OGLE,163.101667,0,,12.251,,,2004,Ground,1.3 m Warsaw University Telescope,OGLE CCD Array,0,http://exoplanet.eu/catalog/ogle-tr-113_b/,http://exoplanets.org/detail/OGLE-TR-113_b,-0.529,,,K4 V,
HD 134060,b,HD 134060 b,2,3.2696,0.0444,0.45,0.0318,,5966.0,1.09,,0,0,24.2,6.29,La Silla Observatory,227.686432,0,,,,,2019,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_134060_b/,,0.158,,,G3 IV,
HD 134060,c,HD 134060 c,2,1291.5646,2.3928,0.11,0.0922,,5966.0,1.09,,0,0,24.2,6.29,La Silla Observatory,227.686432,0,,,,,2019,Ground,3.6 m ESO Telescope,HARPS Spectrograph,0,http://exoplanet.eu/catalog/hd_134060_c/,,0.158,,,G3 IV,
OGLE-TR-111,b,OGLE-TR-111 b,1,4.0144463,0.0473,,,,5040.0,0.85,0.83,0,0,1096.98,15.55,OGLE,163.324625,0,,11.422,0.1116542,12.3,2004,Ground,1.3 m Warsaw University Telescope,OGLE CCD Array,0,http://exoplanet.eu/catalog/ogle-tr-111_b/,http://exoplanets.org/detail/OGLE-TR-111_b,-0.397,,,K2 V,
